YEAR_BUILT,BRIDGES_BUILT,AVG_DESIGN_LOAD
1900,1703,16.829418672930125
1901,126,16.964285714285715
1905,110,17.01818181818182
1908,101,16.797029702970296
1909,116,17.030172413793103
1910,382,16.409685863874344
1911,111,16.256756756756758
1912,128,16.91015625
1913,148,16.93581081081081
1914,190,16.271052631578947
1915,303,15.683168316831683
1916,179,15.938547486033519
1917,177,15.635593220338983
1918,241,16.263485477178424
1919,286,15.797202797202797
1920,942,15.697452229299364
1921,428,15.602803738317757
1922,612,15.110294117647058
1923,561,15.713903743315509
1924,752,15.456781914893616
1925,1340,15.28320895522388
1926,1074,15.46508379888268
1927,1208,15.504139072847682
1928,1728,15.604166666666666
1929,1857,15.441033925686591
1930,3776,15.469941737288135
1931,2253,15.393475366178428
1932,2723,15.44344473007712
1933,1803,15.07487520798669
1934,2054,15.327166504381694
1935,2764,15.19157018813314
1936,2451,15.279069767441861
1937,2330,15.383047210300429
1938,2923,15.47057817310982
1939,2816,15.417613636363637
1940,4479,15.456128600133958
1941,2011,15.379661859771257
1942,1152,15.4921875
1943,459,15.931372549019608
1944,346,15.789017341040463
1945,811,15.569667077681874
1946,1084,15.837177121771218
1947,2052,15.883771929824562
1948,2804,15.788516405135521
1949,2718,15.857615894039736
1950,5435,15.771941122355106
1951,2889,15.82398753894081
1952,3407,15.942177869093044
1953,3800,16.266315789473683
1954,4947,16.08520315342632
1955,5761,15.937858010762021
1956,5666,16.2217613836922
1957,5990,16.36151919866444
1958,7342,16.561495505311903
1959,7398,16.73175182481752
1960,10122,16.502667457024305
1961,7023,16.856258009397692
1962,8093,16.816199184480414
1963,8595,17.035602094240836
1964,8443,17.052351060049745
1965,10596,16.90600226500566
1966,8414,17.139469931067268
1967,8457,17.163533167789996
1968,8791,17.162552610624502
1969,7818,17.26726784343822
1970,9667,17.043860556532533
1971,7245,17.38944099378882
1972,7359,17.376885446392173
1973,6684,17.416965888689408
1974,6767,17.293113639722183
1975,7523,17.184102086933404
1976,6613,17.44813246635415
1977,5882,17.431570894253657
1978,6350,17.43236220472441
1979,5922,17.477963525835865
1980,6640,17.50323795180723
1981,5709,17.691802417235944
1982,5593,17.67414625424638
1983,6344,17.670870113493063
1984,7381,17.776249830646254
1985,7028,17.882185543540125
1986,6936,17.923442906574394
1987,7136,17.993063340807176
1988,7250,18.060827586206898
1989,6917,18.176304756397283
1990,7826,18.198952210580117
1991,7336,18.28401035986914
1992,7219,18.37525973126472
1993,7067,18.504952596575635
1994,6867,18.504587155963304
1995,6733,18.604856676073073
1996,7013,18.646157136746044
1997,7036,18.677942012507106
1998,6678,18.76212938005391
1999,6974,18.760108976197305
2000,6927,18.866608921611085
2001,6331,18.806033801927025
2002,6471,18.8567454798331
2003,6526,18.860557768924302
2004,6479,18.816792714925143
2005,5962,18.846863468634687
2006,5798,18.853742669886167
2007,4889,18.904786254857843
2008,4436,19.0357303877367
2009,4078,19.121137812653263
2010,3675,19.203673469387756
2011,2940,19.008673469387755
2012,2477,19.026443278159064
2013,1806,18.93687707641196
2014,1541,18.946138870863077
2015,1065,18.988732394366195
