count_state,count_year,max(count)
1,1999,356
2,1998,73
4,1969,197
5,1942,263
6,1941,680
8,1978,221
9,1958,144
10,1928,32
11,1937,9
12,1974,323
13,1981,519
15,1940,47
16,1950,134
17,2005,904
18,1984,445
19,1923,767
20,1960,1156
21,1952,342
22,1982,503
23,1982,66
24,1980,103
25,1993,292
26,1935,171
27,1938,465
28,1960,468
29,1950,719
30,1962,111
31,1990,2760
32,1953,74
33,1913,159
34,1919,142
35,1995,107
36,1895,325
37,1942,694
38,1972,116
39,1983,1214
40,1932,1060
41,1933,212
42,2006,480
44,1982,20
45,1941,277
46,1961,243
47,1942,1038
48,2008,952
49,1987,85
50,2003,123
51,2005,1155
53,1995,175
54,1913,183
55,1932,266
56,1913,147
72,1853,60
