1,"Route carried ""on"" the structure"
2,"Single route goes ""under"" the structure"
A,"Multiple routes go ""under"" the structure"
B,"Multiple routes go ""under"" the structure"
C,"Multiple routes go ""under"" the structure"
D,"Multiple routes go ""under"" the structure"
E,"Multiple routes go ""under"" the structure"
F,"Multiple routes go ""under"" the structure"
G,"Multiple routes go ""under"" the structure"
H,"Multiple routes go ""under"" the structure"
I,"Multiple routes go ""under"" the structure"
J,"Multiple routes go ""under"" the structure"
K,"Multiple routes go ""under"" the structure"
L,"Multiple routes go ""under"" the structure"
M,"Multiple routes go ""under"" the structure"
N,"Multiple routes go ""under"" the structure"
O,"Multiple routes go ""under"" the structure"
P,"Multiple routes go ""under"" the structure"
Q,"Multiple routes go ""under"" the structure"
R,"Multiple routes go ""under"" the structure"
S,"Multiple routes go ""under"" the structure"
T,"Multiple routes go ""under"" the structure"
U,"Multiple routes go ""under"" the structure"
V,"Multiple routes go ""under"" the structure"
W,"Multiple routes go ""under"" the structure"
X,"Multiple routes go ""under"" the structure"
Y,"Multiple routes go ""under"" the structure"
Z,"Multiple routes go ""under"" the structure"
